k,time_s,pwmVal,position,courant,positionRef,courantRef,positionReel,courantReel
20393,40.786000,50,455,535,429.301198,511.355250,25.698802,23.644750
20394,40.788000,50,454,535,429.301198,511.355250,24.698802,23.644750
20395,40.790000,50,454,534,429.301198,511.355250,24.698802,22.644750
20396,40.792000,50,455,535,429.301198,511.355250,25.698802,23.644750
20397,40.794000,50,455,534,429.301198,511.355250,25.698802,22.644750
20398,40.796000,50,455,534,429.301198,511.355250,25.698802,22.644750
20399,40.798000,50,455,534,429.301198,511.355250,25.698802,22.644750
20400,40.800000,50,455,535,429.301198,511.355250,25.698802,23.644750
20401,40.802000,50,454,534,429.301198,511.355250,24.698802,22.644750
20402,40.804000,50,454,534,429.301198,511.355250,24.698802,22.644750
20403,40.806000,50,454,534,429.301198,511.355250,24.698802,22.644750
20404,40.808000,50,454,533,429.301198,511.355250,24.698802,21.644750
20405,40.810000,50,453,533,429.301198,511.355250,23.698802,21.644750
20406,40.812000,50,454,533,429.301198,511.355250,24.698802,21.644750
20407,40.814000,50,453,533,429.301198,511.355250,23.698802,21.644750
20408,40.816000,50,454,534,429.301198,511.355250,24.698802,22.644750
20409,40.818000,50,453,535,429.301198,511.355250,23.698802,23.644750
20410,40.820000,50,452,533,429.301198,511.355250,22.698802,21.644750
20411,40.822000,50,452,533,429.301198,511.355250,22.698802,21.644750
20412,40.824000,50,452,533,429.301198,511.355250,22.698802,21.644750
20413,40.826000,50,452,533,429.301198,511.355250,22.698802,21.644750
20414,40.828000,50,451,534,429.301198,511.355250,21.698802,22.644750
20415,40.830000,50,451,534,429.301198,511.355250,21.698802,22.644750
20416,40.832000,50,450,534,429.301198,511.355250,20.698802,22.644750
20417,40.834000,50,450,535,429.301198,511.355250,20.698802,23.644750
20418,40.836000,50,450,535,429.301198,511.355250,20.698802,23.644750
20419,40.838000,50,449,535,429.301198,511.355250,19.698802,23.644750
20420,40.840000,50,447,534,429.301198,511.355250,17.698802,22.644750
20421,40.842000,50,448,534,429.301198,511.355250,18.698802,22.644750
20422,40.844000,50,448,534,429.301198,511.355250,18.698802,22.644750
20423,40.846000,50,447,534,429.301198,511.355250,17.698802,22.644750
20424,40.848000,50,447,534,429.301198,511.355250,17.698802,22.644750
20425,40.850000,50,445,534,429.301198,511.355250,15.698802,22.644750
20426,40.852000,50,445,535,429.301198,511.355250,15.698802,23.644750
20427,40.854000,50,445,536,429.301198,511.355250,15.698802,24.644750
20428,40.856000,50,443,535,429.301198,511.355250,13.698802,23.644750
20429,40.858000,50,443,535,429.301198,511.355250,13.698802,23.644750
20430,40.860000,50,442,535,429.301198,511.355250,12.698802,23.644750
20431,40.862000,50,442,535,429.301198,511.355250,12.698802,23.644750
20432,40.864000,50,441,535,429.301198,511.355250,11.698802,23.644750
20433,40.866000,50,441,535,429.301198,511.355250,11.698802,23.644750
20434,40.868000,50,440,535,429.301198,511.355250,10.698802,23.644750
20435,40.870000,50,439,535,429.301198,511.355250,9.698802,23.644750
20436,40.872000,50,439,535,429.301198,511.355250,9.698802,23.644750
20437,40.874000,50,439,535,429.301198,511.355250,9.698802,23.644750
20438,40.876000,50,438,535,429.301198,511.355250,8.698802,23.644750
20439,40.878000,50,436,534,429.301198,511.355250,6.698802,22.644750
20440,40.880000,50,436,534,429.301198,511.355250,6.698802,22.644750
20441,40.882000,50,435,534,429.301198,511.355250,5.698802,22.644750
20442,40.884000,50,434,534,429.301198,511.355250,4.698802,22.644750
